name = extended_platinum_ec
technique = EC
tstamp = 1580482722.0
backend_name = memory
id = 6
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]' and 'selector'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	selector
93.46835136413574,	1.1513581,	0.050011374,	1.8663580999999998,	0.050011374,	0,	
93.96835136413574,	1.1505378,	0.050009467,	1.8655377999999998,	0.050009467,	0,	
94.46835136413574,	1.1506141,	0.050013918,	1.8656141000000002,	0.050013918,	0,	
94.96835136413574,	1.1504616,	0.05000883,	1.8654616000000002,	0.05000883,	0,	
95.46835136413574,	1.1497748,	0.050015192,	1.8647748000000002,	0.050015192,	0,	
95.96835112571716,	1.1503662,	0.0500171,	1.8653662,	0.0500171,	0,	
96.46835112571716,	1.1503662,	0.050018374,	1.8653662,	0.050018374,	0,	
96.96835112571716,	1.1493169,	0.050017737,	1.8643169,	0.050017737,	0,	
97.46835112571716,	1.1500992,	0.050019644,	1.8650992,	0.050019644,	0,	
97.96835112571716,	1.1512246,	0.050013285,	1.8662245999999998,	0.050013285,	0,	
98.46835112571716,	1.1513963,	0.050018374,	1.8663963,	0.050018374,	0,	
98.96835112571716,	1.1511102,	0.050013918,	1.8661102,	0.050013918,	0,	
99.46835112571716,	1.1518732,	0.050020918,	1.8668732000000001,	0.050020918,	0,	
99.96835112571716,	1.151072,	0.050013285,	1.866072,	0.050013285,	0,	
100.46835112571716,	1.1512628,	0.050004374,	1.8662627999999999,	0.050004374,	0,	
100.96835112571716,	1.1513772,	0.050004374,	1.8663772,	0.050004374,	0,	
101.46835112571716,	1.1514536,	0.050011374,	1.8664535999999998,	0.050011374,	0,	
101.96835112571716,	1.1515681,	0.050006922,	1.8665680999999998,	0.050006922,	0,	
102.46835112571716,	1.1517969,	0.050004374,	1.8667968999999998,	0.050004374,	0,	
102.96835112571716,	1.1514345,	0.050002467,	1.8664345,	0.050002467,	0,	
103.46835112571716,	1.152293,	0.05000883,	1.867293,	0.05000883,	0,	
103.96835112571716,	1.1518923,	0.050001197,	1.8668923,	0.050001197,	0,	
104.46835112571716,	1.1524074,	0.050007559,	1.8674073999999998,	0.050007559,	0,	
104.96835112571716,	1.1517969,	0.050004374,	1.8667968999999998,	0.050004374,	0,	
