name = extended_platinum_ec
technique = EC
tstamp = 1580480022.0
backend_name = BackendBase(none, address=none)
id = 7
timecol 'time/s' for: '$U_{RHE}$ / [V]' and '<I>/mA' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["$U_{RHE}$ / [V]"], "raw_current": ["<I>/mA"], "selector": ["selector"]}
N_header_lines = 10

time/s,	$U_{RHE}$ / [V],	<I>/mA,	selector
174.21658301353455,	0.1740317,	0.0001318042614657786,	1,	
174.3706829547882,	0.17705603999999997,	0.0001323276056856666,	1,	
174.52478289604187,	0.18028803999999998,	0.0001308817262608143,	1,	
174.6788830757141,	0.18354419,	0.0001265083221004535,	1,	
174.83298301696777,	0.18661799999999995,	0.0001262474044613302,	1,	
174.98708295822144,	0.18938060999999995,	0.0001270332767045303,	1,	
175.1411828994751,	0.19284870999999992,	0.0001228939527623298,	1,	
175.29528307914734,	0.19605436999999992,	0.000121780892682936,	1,	
175.449383020401,	0.19895801000000002,	0.0001217898373315142,	1,	
175.60348296165466,	0.20234224,	0.0001202625780924687,	1,	
175.75758290290833,	0.20547839999999995,	0.0001172022621559832,	1,	
175.911682844162,	0.20874890000000001,	0.0001180435301180813,	1,	
176.06578302383423,	0.21195515999999992,	0.000116981237188069,	1,	
176.2198829650879,	0.21483334999999992,	0.0001150634316118573,	1,	
176.37398290634155,	0.21790026999999995,	0.0001147734015603292,	1,	
176.52808284759521,	0.22107037999999996,	0.0001167702453837858,	1,	
176.68218302726746,	0.22423728999999998,	0.0001136595049747637,	1,	
176.83628296852112,	0.22724594999999997,	0.0001129739809892522,	1,	
176.99038290977478,	0.23028080999999995,	0.0001142039661372468,	1,	
177.14448285102844,	0.23319681999999997,	0.0001139942049700293,	1,	
177.29858303070068,	0.23649715999999998,	0.0001126290823255265,	1,	
177.45268297195435,	0.23952185999999998,	0.0001148023677655279,	1,	
177.606782913208,	0.24269026,	0.0001137777467551328,	1,	
177.76088285446167,	0.24565180999999997,	0.0001128542780371709,	1,	
177.9149830341339,	0.24846511999999998,	0.0001141577264239268,	1,	
178.06908297538757,	0.25172036999999997,	0.0001161444432554379,	1,	
178.22318291664124,	0.25486352999999995,	0.0001147655718364188,	1,	
178.3772828578949,	0.25797542999999995,	0.000114568634734776,	1,	
178.53138303756714,	0.26097645999999997,	0.0001168168201715332,	1,	
178.6854829788208,	0.26360729,	0.0001175327027946975,	1,	
178.83958292007446,	0.26675804999999997,	0.000115615569385245,	1,	
178.99368286132812,	0.26988142,	0.0001181453137342372,	1,	
179.14778304100037,	0.27276539,	0.0001186828573236437,	1,	
179.30188298225403,	0.2759214,	0.0001172395976126914,	1,	
179.4559829235077,	0.27883207,	0.0001192921008670708,	1,	
179.61008286476135,	0.28185528,	0.00012128562197768,	1,	
179.76418280601501,	0.28516882,	0.0001196699387138867,	1,	
179.91828298568726,	0.28808178999999995,	0.0001196094377272384,	1,	
180.07238292694092,	0.29104273999999997,	0.0001228963979392698,	1,	
180.22648286819458,	0.29403265999999995,	0.0001231625473626142,	1,	
180.38058280944824,	0.29700473,	0.0001213324341018999,	1,	
180.53468298912048,	0.29995386999999996,	0.0001240602606146226,	1,	
180.68878293037415,	0.30286224999999994,	0.000124349453565467,	1,	
180.8428828716278,	0.30598213999999996,	0.0001228416433035956,	1,	
180.99698281288147,	0.30887066999999996,	0.0001243133266574865,	1,	
181.1510829925537,	0.31220646999999996,	0.0001270973674348977,	1,	
181.30518293380737,	0.31506546999999996,	0.0001248394025697356,	1,	
181.45928287506104,	0.31821033,	0.0001259343502520191,	1,	
181.6133828163147,	0.32114931999999996,	0.0001277641371550263,	1,	
181.76748299598694,	0.32436898,	0.0001274145124636542,	1,	
181.9215829372406,	0.32726659999999996,	0.0001259799384055421,	1,	
182.07568287849426,	0.3302637,	0.0001280685890410922,	1,	
182.22978281974792,	0.33329516,	0.0001285451370511281,	1,	
182.38388299942017,	0.33639579999999997,	0.0001260139957366202,	1,	
182.53798294067383,	0.33953085,	0.0001266716341396124,	1,	
182.6920828819275,	0.34249191999999995,	0.0001290209496052014,	1,	
182.84618282318115,	0.34546771,	0.0001260213126579044,	1,	
183.00028276443481,	0.34852018999999995,	0.0001257666004531509,	1,	
183.15438294410706,	0.35182573999999994,	0.0001284223815210296,	1,	
183.30848288536072,	0.35477948,	0.0001261784500862698,	1,	
183.46258282661438,	0.35801383,	0.0001259829786905064,	1,	
183.61668276786804,	0.36094442,	0.0001274276993448161,	1,	
183.77078294754028,	0.36435999999999996,	0.0001260884600018914,	1,	
183.92488288879395,	0.36736905,	0.0001236512217858898,	1,	
184.0789828300476,	0.37054785999999995,	0.0001241760466550152,	1,	
184.23308277130127,	0.37321924999999995,	0.0001259244566405701,	1,	
